institution,label,institution_state,statefips
00354600,Coastal Bend College,TX,48
00354900,Blinn College,TX,48
00355300,Cisco College,TX,48
00355400,Clarendon College,TX,48
00355800,North Central Texas College,TX,48
00356100,Cedar Valley College,TX,48
00356300,Del Mar College,TX,48
00356500,Texas A&M University - Commerce,TX,48
00356800,Frank Phillips College,TX,48
00357000,Grayson College,TX,48
00357200,Trinity Valley Community College,TX,48
00357300,Hill College,TX,48
00357400,Howard County Junior College District,TX,48
00358000,Kilgore College,TX,48
00358100,Lamar University,TX,48
00358200,Laredo College,TX,48
00358300,Lee College,TX,48
00359000,McLennan Community College,TX,48
00359200,Midwestern State University,TX,48
00359300,Navarro College,TX,48
00359400,University of North Texas,TX,48
00359600,Odessa College,TX,48
00359900,University of Texas Rio Grande Valley,TX,48
00360000,Panola College,TX,48
00360100,Paris Junior College,TX,48
00360300,Ranger College,TX,48
00360600,Sam Houston State University,TX,48
00360800,Saint Philip's College,TX,48
00360900,San Jacinto Community College District,TX,48
00361100,South Plains College,TX,48
00361200,University Of Houston - Downtown,TX,48
00361400,Southwest Texas Junior College,TX,48
00361500,Texas State University,TX,48
00362400,Stephen F Austin State University,TX,48
00362500,Sul Ross State University,TX,48
00362600,Tarrant County College District,TX,48
00362700,Temple College,TX,48
00362800,Texarkana College,TX,48
00363000,Prairie View Agricultural & Mechanical University,TX,48
00363100,Tarleton State University,TX,48
00363200,Texas A&M University,TX,48
00363400,Texas State Technical College,TX,48
00363900,Texas A&M University - Kingsville,TX,48
00364200,Texas Southern University,TX,48
00364400,Texas Tech University,TX,48
00364600,Texas Womans University,TX,48
00364800,Tyler Junior College,TX,48
00365200,University of Houston,TX,48
00365600,University of Texas at Arlington,TX,48
00365800,University of Texas - Austin,TX,48
00365900,University of Texas Health Science Center at San Antonio,TX,48
00366100,University of Texas at El Paso,TX,48
00366200,Victoria College,TX,48
00366400,Weatherford College,TX,48
00366500,West Texas A&M University,TX,48
00366800,Wharton County Junior College,TX,48
00367100,Dixie State University,UT,49
00367500,University of Utah,UT,49
00367600,Utah State University - College of Eastern Utah,UT,49
00367700,Utah State University,UT,49
00367800,Southern Utah University,UT,49
00367900,Snow College,UT,49
00368000,Weber State University,UT,49
00370200,Averett University,VA,51
00370300,Bluefield College,VA,51
00370400,Bridgewater College,VA,51
00370500,College of William & Mary,VA,51
00370600,Christopher Newport University,VA,51
00370700,Richard Bland College,VA,51
00370800,Eastern Mennonite University,VA,51
00370900,Emory & Henry College,VA,51
00371100,Ferrum College,VA,51
00371200,Tidewater Community College,VA,51
00371300,Hampden Sydney College,VA,51
00371400,Hampton University,VA,51
00371500,Hollins University,VA,51
00371900,Longwood University,VA,51
00372000,University of Lynchburg,VA,51
00372100,James Madison University,VA,51
00372300,Mary Baldwin University,VA,51
00372400,Marymount University,VA,51
00372700,Northern Virginia Community College,VA,51
00372800,Old Dominion University,VA,51
00373200,Radford University,VA,51
00373300,Randolph-Macon College,VA,51
00373400,Randolph College,VA,51
00373500,Virginia Commonwealth University,VA,51
00373600,Roanoke College,VA,51
00373700,Shenandoah University,VA,51
00373800,Southern Virginia University,VA,51
00374200,Sweet Briar College,VA,51
00374400,University of Richmond,VA,51
00374500,University of Virginia,VA,51
00374600,University of Mary Washington,VA,51
00374700,University of Virginia's College at Wise (The),VA,51
00374800,Eastern Shore Community College,VA,51
00374900,George Mason University,VA,51
00375100,Patrick Henry Community College,VA,51
00375200,Virginia Intermont College,VA,51
00375300,Virginia Military Institute,VA,51
00375400,Virginia Polytechnic Institute & State University,VA,51
00375800,Danville Community College,VA,51
00375900,J Sargeant Reynolds Community College,VA,51
00376000,Virginia Western Community College,VA,51
00376100,Wytheville Community College,VA,51
00376400,Virginia State University,VA,51
00376500,Norfolk State University,VA,51
00376600,Virginia Union University,VA,51
00376700,Virginia Wesleyan University,VA,51
00376800,Washington and Lee University,VA,51
00389500,University of Wisconsin - Madison,WI,55
00389600,University of Wisconsin - Milwaukee,WI,55
00389700,University of Wisconsin Colleges,WI,55
00389900,University of Wisconsin - Green Bay,WI,55
00391500,University of Wisconsin - Stout,WI,55
00391700,University of Wisconsin - Eau Claire,WI,55
00391900,University of Wisconsin - LaCrosse,WI,55
00392000,University of Wisconsin - Oshkosh,WI,55
00392100,University of Wisconsin - Platteville,WI,55
00392300,University of Wisconsin - River Falls,WI,55
00392400,University of Wisconsin - Stevens Point,WI,55
00392500,University of Wisconsin - Superior,WI,55
00392600,University of Wisconsin - Whitewater,WI,55
00392800,Casper College,WY,56
00392900,Eastern Wyoming College,WY,56
00393000,Northern Wyoming Community College District,WY,56
00393100,Northwest College,WY,56
00393300,Western Wyoming Community College,WY,56
00395600,Dalton State College,GA,13
00396900,University of Minnesota - Twin Cities,MN,27
00396903,University of Minnesota - Rochester,MN,27
00399000,Florence - Darlington Technical College,SC,45
00399100,Greenville Technical College,SC,45
00399200,Piedmont Technical College,SC,45
00399300,Midlands Technical College - Airport Campus,SC,45
00399400,Spartanburg Community College,SC,45
00399500,Central Carolina Technical College,SC,45
00399600,York Technical College,SC,45
00400300,Central Texas College,TX,48
00400400,John Tyler Community College,VA,51
00400900,Mesabi Range College,MN,27
00402700,Utah Valley University,UT,49
00405737,National American University - Indianapolis,IN,18
00406900,University of Minnesota - Crookston,MN,27
00407500,Eastern Iowa Community Colleges,IA,19
00407600,Kirkwood Community College,IA,19
00445300,Dallas College,TX,48
00450600,Colorado Mountain College,CO,08
